#NAME,Parasites,infection,sex,wt,gfood_gbodywt,feces_drywt,Rat,Trial,urine,intake_dm,tot_ox,ox_perg,ox_group,month,gdna conc,gut_region,kit
Rodolfo-037-FCV567-D6-515-806,Coccidian,yes,F,123.365,0.102934017,3.555,CV567,spike,21.5,12.698455,1.2698455,0.010293402,1,octspike,32.7,feces,MD2
Rodolfo-038-FCV569-D6-515-806,Uninfected,no,M,184.79,0.056401347,2.7075,CV569,spike,16,10.422405,0.885904425,0.004794115,2,octspike,55.2,feces,MD2
Rodolfo-039-FCV570-D6-515-806,Coccidian,yes,M,179.13,0.080888182,3.662,CV570,spike,32,14.4895,1.2316075,0.006875495,2,octspike,40.6,feces,MD2
Rodolfo-040-FCV573-D6-515-806,Uninfected,no,M,182.465,0.074224262,2.9825,CV573,spike,30.5,13.54333,1.354333,0.007422426,1,octspike,39.5,feces,MD2
Rodolfo-041-FCV574-D6-515-806,Uninfected,no,F,115.265,0.035238234,2.196,CV574,spike,13.5,4.061735,0.4061735,0.003523823,1,octspike,64.1,feces,MD2
Rodolfo-042-FCV576-D6-515-806,Uninfected,no,F,176.39,0.077512898,2.879,CV576,spike,24.5,13.6725,1.1621625,0.006588596,2,octspike,34.1,feces,MD2
Rodolfo-043-FCV581-D6-515-806,Coccidian,yes,F,167.74,0.08642697,3.783,CV581,spike,25,14.49726,1.2322671,0.007346292,2,octspike,63.2,feces,MD2
Rodolfo-044-FCV591-D6-515-806,Uninfected,no,M,189.165,0.073886025,5.1235,CV591,spike,31.5,13.97665,1.18801525,0.006280312,2,octspike,70.5,feces,MD2
Rodolfo-045-FCV593-D6-515-806,Uninfected,no,M,190.64,0.064667279,1.516,CV593,spike,33.5,12.32817,1.232817,0.006466728,1,octspike,52.8,feces,MD2
Rodolfo-046-FCV597-D6-515-806,Nematode,yes,F,146.87,0.086795329,2.9835,CV597,spike,30,12.74763,1.274763,0.008679533,1,octspike,78.4,feces,MD2
Rodolfo-053-FCV502-D6-515-806,Nematode,yes,M,186.46,0.072481792,2.773,CV502,spike,22.5,13.514955,1.148771175,0.006160952,2,octspike,79.7,feces,MD3
